Date,Modal.Price.bitter.guard,Modal.Price.cucumber,Modal.Price.cabbage,Modal.Price.lady,Modal.Price.potato,Modal.Price.carrot,Modal.Price.jawar,Modal.Price.tomato,Modal.Price.beetroot,Modal.Price.turmeric,Modal.Price.ginger,MAX,MIN,R.F,EVP,DR,SSH,RH,VP,petrolPrice,Modal.Price.onion
2006-09-17,1119.0476190476,586.3095238095,525.5952380952,1119.0476190476,755.2678571429,636.9642857143,867.8571428571,704.5634920635,350.8333333333,3228.5714285714,1092.8571428571,30.6285714286,22.2857142857,10.0285714286,3.1857142857,2.7142857143,3.6,87.2857142857,273.1428571429,52.71,318.5714285714
2006-09-24,1039.2857142857,607.1428571429,495.2380952381,1039.2857142857,831.3392857143,601.1904761905,910.7142857143,541.4285714286,428.4523809524,3207.1428571429,964.2857142857,28.4,21.3857142857,1.4,2.4285714286,0,3.9571428571,81.7142857143,258.7142857143,52.71,308.7380952381
2006-10-01,979.7619047619,711.1904761905,561.9047619048,979.7619047619,888.9880952381,545.8333333333,898.1428571429,671.4285714286,481.3095238095,3185.7142857143,953.5714285714,30.5285714286,21.4714285714,2.5,3.8142857143,0.4285714286,5.7142857143,81.2142857143,256.9285714286,52.71,349.4642857143
2006-10-08,957.7380952381,598.8095238095,634.7619047619,957.7380952381,808.3333333333,567.8571428571,895.7142857143,816.6666666667,360.7142857143,3232.1428571429,950,30.2285714286,22.1857142857,5.0142857143,2.4285714286,0.4285714286,4.0714285714,84.4285714286,270.1428571429,52.71,343.4722222222
2006-10-15,1089.2857142857,569.0476190476,735.7142857143,1089.2857142857,742.8571428571,594.2857142857,932.1428571429,628.5714285714,400,3128.5714285714,950,31.7428571429,20.9285714286,1.5428571429,3.5571428571,1.0714285714,6.8142857143,69.7142857143,241.1428571429,52.71,357.5
2006-10-22,997.619047619,523.8095238095,694.0476190476,997.619047619,698.2142857143,626.0714285714,928.5714285714,522.619047619,442.8571428571,2942.8571428571,950,32.3857142857,18.8142857143,0,4.7428571429,0,9.1714285714,63.2142857143,215.0714285714,52.71,351.1904761905
2006-10-29,757.1428571429,460.9523809524,650,757.1428571429,945.8333333333,604.1666666667,946.4285714286,530.9523809524,400,3057.1428571429,1207.1428571429,31.4,16.8571428571,0.5,4.3142857143,0,8.8285714286,61.5714285714,200.7142857143,52.71,450
2006-11-05,850,508.3333333333,633.3333333333,850,989.880952381,553.5714285714,1014.2857142857,542.1428571429,423.2142857143,3100,1135.7142857143,30.4428571429,18.6571428571,1.4714285714,3.8571428571,1.2,6.3714285714,67.2142857143,215.5714285714,52.71,496.5476190476
2006-11-12,824.6031746032,566.6666666667,669.0476190476,824.6031746032,897.619047619,589.2857142857,1006.8571428571,378.8888888889,580,3100,1071.4285714286,29.5428571429,15.6428571429,1.9428571429,3.5,2.4285714286,6.5285714286,65.3571428571,190.8571428571,52.71,441.369047619
2006-11-19,896.4285714286,680.3571428571,640.4761904762,896.4285714286,827.9761904762,647.0238095238,1025,432.8571428571,553.5714285714,3014.2857142857,1000,29.6571428571,13.9571428571,0,3.8857142857,0,8.6142857143,61.7857142857,177.0714285714,52.71,477.0238095238
