"Index" "Modal.PriceBrinjal" "Modal.PricePotato" "Modal.PriceLadiesfing" "Modal.PriceCarrot" "Modal.PriceTomato" "Modal.Price.bitter.groud" "Modal.Price.beetroot" "Modal.Price.ginger" "Modal.Price.garlic" "PetrolPrice" "Modal.Price.cauliflower" "Modal.Price.cabbage" "Modal.PriceOnion"
"2012-09-23" 2012-09-23 1272.95918367347 1350 2040.30612244898 1921.42857142857 546.938775510204 1397.14285714286 484.69387755102 2100 1600 75.14 976.49136577708 416.326530612245 4276.5306122449
"2012-09-30" 2012-09-30 1164.28571428571 1325 1861.30952380952 1803.57142857143 551.785714285714 1475.79365079365 466.269841269841 2115.47619047619 1598.57142857143 75.14 1109.82142857143 432.936507936508 5400.59523809524
"2012-10-07" 2012-10-07 940.909090909091 1232.14285714286 1506.21521335807 1846.42857142857 440.808080808081 1448.09833024119 447.820037105751 2164.28571428571 1516.44445149558 75.14 817.857142857143 389.749536178108 5233.20964749536
"2012-10-14" 2012-10-14 1123.07692307692 1214.28571428571 1684.06593406593 1807.14285714286 457.142857142857 1515.93406593407 422.527472527473 2189.28571428571 1500 74.5314285714286 792.857142857143 398.901098901099 4894.50549450549
"2012-10-21" 2012-10-21 1235 1091.07142857143 1985 1978.57142857143 756.428571428571 1631.52958152958 475 2344.04761904762 1500 74.43 901.428571428571 406.428571428571 5102.85714285714
"2012-10-28" 2012-10-28 1224.51298701299 1234.16666666667 1632.5937950938 1919.64285714286 400.315656565657 1437.48196248196 460.416666666667 2752.97619047619 1500 74.5157142857143 909.280303030303 424.666305916306 4592.02741702742
"2012-11-04" 2012-11-04 1254.16666666667 1228.57142857143 1965.47619047619 1742.85714285714 330.357142857143 1560.71428571429 442.261904761905 3314.28571428571 1500 74.73 770.238095238095 375 4185.71428571429
"2012-11-11" 2012-11-11 1357.8231292517 1202.85714285714 2240.05102040816 1400 345.748299319728 1603.31632653061 493.086913086913 2871.42857142857 1500 74.73 715.901360544218 352.125850340136 4199.48979591837
"2012-11-18" 2012-11-18 901.52417027417 1170.2380952381 1828.77886002886 1512.5 318.578643578644 1409.91161616162 456.764069264069 3043.45238095238 1596.42857142857 74.2157142857143 523.160173160173 351.109307359307 3889.44805194805
"2012-11-25" 2012-11-25 1097.95918367347 1267.85714285714 2328.0612244898 1471.42857142857 540.816326530612 1613.26530612245 768.877551020408 3551.78571428571 2796.11958731957 73.53 394.387755102041 354.591836734694 3507.14285714286
"2012-12-02" 2012-12-02 958.163265306122 1328.57142857143 2366.32653061224 1338.09523809524 564.285714285714 1603.40136054422 684.69387755102 2857.14285714286 2849.99558589872 73.53 357.823129251701 325.034013605442 3655.10204081633
"2012-12-09" 2012-12-09 816.326530612245 1387.5 2366.41156462585 1486.90476190476 433.248299319728 1618.87755102041 681.632653061225 3276.78571428571 2849.9987125409 73.53 334.013605442177 344.931972789116 4103.74149659864
"2012-12-16" 2012-12-16 1007.19696969697 1259.7619047619 2814.88095238095 1365.47619047619 461.904761904762 1559.52380952381 637.5 3285.71428571429 2849.99851499463 73.53 367.261904761905 377.97619047619 4129.7619047619
"2012-12-23" 2012-12-23 1301.75300889587 1051.42857142857 2960.03401360544 1207.14285714286 430.442176870748 1920.74829931973 590.30612244898 3171.42857142857 2845.73794013248 73.53 412.585034013605 323.299319727891 4075.85034013605
"2012-12-30" 2012-12-30 1162.27106227106 1375 3108.05860805861 1017.85714285714 433.333333333333 1852.01465201465 558.516483516484 3045.23809523809 1921.84995937914 73.53 446.703296703297 367.032967032967 3191.75824175824
"2013-01-06" 2013-01-06 975 1250 2810.71428571429 1316.07142857143 534.285714285714 1874.23469387755 539.285714285714 3207.14285714286 1400.27355827833 74.2071428571429 478.571428571429 418.112244897959 2057.14285714286
"2013-01-13" 2013-01-13 1106.12244897959 1151.42857142857 2988.18681318681 1169.64285714286 541.326530612245 1935.71428571429 564.795918367347 3250 1400.02440810349 74.32 504.591836734694 429.591836734694 1498.97959183673
"2013-01-20" 2013-01-20 1257.14285714286 1000 2662.75510204082 1016.07142857143 575 1975 482.142857142857 3282.14285714286 1400.02440810349 74.1828571428571 553.571428571429 428.571428571429 1678.57142857143
"2013-01-27" 2013-01-27 1133.92857142857 1069.64285714286 3005.49450549451 1096.42857142857 539.795918367347 2095.91836734694 534.438775510204 3407.14285714286 1401.13661381723 74 514.285714285714 390.561224489796 1488.26530612245
"2013-02-03" 2013-02-03 908.928571428571 918.214285714286 2840.5612244898 1275 596.683673469388 2058.33333333333 468.367346938776 3525.59523809524 1505.2380952381 74 368.367346938776 369.642857142857 1435.71428571429
"2013-02-10" 2013-02-10 784.672619047619 966.071428571429 2483.18452380952 1370.83333333333 609.22619047619 2156.10119047619 547.02380952381 3680.95238095238 1583.92857142857 74 316.488095238095 386.904761904762 1033.57142857143
"2013-02-17" 2013-02-17 757.142857142857 907.142857142857 2689.28571428571 1003.57142857143 653.571428571429 2325 477.295918367347 3757.14285714286 1559.01493930906 74.54 367.857142857143 382.142857142857 796.428571428571
"2013-02-24" 2013-02-24 975.357142857143 915.357142857143 2610 1031.25 791.785714285714 2049.28571428571 514.285714285714 3804.7619047619 1600 75.89 455 392.857142857143 726.785714285714
"2013-03-03" 2013-03-03 932.142857142857 930.357142857143 2767.85714285714 1106.72619047619 843.367346938776 1905.35714285714 473.408189033189 3771.19047619048 1600 76.3957142857143 518.367346938776 452.551020408163 695.408163265306
"2013-03-10" 2013-03-10 1263.77551020408 889.642857142857 2508.67346938776 1038.69047619048 851.020408163265 2408.54145854146 500.510204081633 4233.57142857143 1553.94491129785 77.66 578.571428571429 457.142857142857 659.69387755102
"2013-03-17" 2013-03-17 1171.42857142857 895 2432.14285714286 916.071428571429 821.683673469388 2545.40816326531 480.102040816327 4185.71428571429 1500 76.94 671.428571428571 492.857142857143 714.285714285714
"2013-03-24" 2013-03-24 1267.85714285714 922.857142857143 2500 1032.14285714286 617.857142857143 2580.87301587302 500 4358.92857142857 1835 75.14 825 571.428571428571 717.857142857143
"2013-03-31" 2013-03-31 1096.42857142857 1096.42857142857 2667.85714285714 1028.57142857143 580.714285714286 2681.04395604396 594.505494505495 3792.85714285714 2511.42857142857 75.14 746.428571428571 503.571428571429 416.071428571429
"2013-04-07" 2013-04-07 1366.66666666667 1154.64285714286 2755.95238095238 1092.85714285714 749.761904761905 2981.44841269841 711.904761904762 4675 2169.04761904762 74.2928571428571 880.952380952381 561.904761904762 373.809523809524
"2013-04-14" 2013-04-14 1422.61904761905 1079.28571428571 2871.42857142857 917.857142857143 838.095238095238 2804.67032967033 585.714285714286 5142.85714285714 2428.57142857143 74.14 890.47619047619 583.333333333333 336.785714285714
"2013-04-21" 2013-04-21 1227.38095238095 1267.14285714286 2253.57142857143 1008.92857142857 719.047619047619 2696.42857142857 579.591836734694 5428.57142857143 2535.71428571429 73.06 897.619047619048 550 375.714285714286
"2013-04-28" 2013-04-28 1025 1305.35714285714 2217.85714285714 1141.96428571429 734.52380952381 2503.57142857143 590.357142857143 5567.85714285714 2770 72.88 761.904761904762 467.857142857143 414.285714285714
"2013-05-05" 2013-05-05 1170.3231292517 1304.46428571429 2354.50680272109 1246.42857142857 879.84693877551 2591.32653061224 590.357142857143 7783.92857142857 2732.14285714286 70.63 922.02380952381 518.622448979592 415.459183673469
"2013-05-12" 2013-05-12 1471.42857142857 1476.42857142857 2485.95238095238 1178.57142857143 926.190476190476 2738.26530612245 791.758241758242 8878.57142857143 2764.28571428571 69.73 821.428571428571 569.047619047619 445.238095238095
"2013-05-19" 2013-05-19 1701.19047619048 1470.83333333333 2440.47619047619 1557.14285714286 911.904761904762 2671.42857142857 1188.09523809524 8994.64285714286 2934.52380952381 69.73 790.47619047619 559.52380952381 538.095238095238
"2013-05-26" 2013-05-26 2133.33333333333 1521.42857142857 2598.80952380952 1521.42857142857 1280.95238095238 2991.07142857143 1789.97113997114 8314.28571428571 2975 70.53 970.238095238095 576.190476190476 601.428571428571
"2013-06-02" 2013-06-02 2305.95238095238 1536.90476190476 2617.85714285714 1553.57142857143 1408.33333333333 2780.08658008658 1871.45473574045 9232.14285714286 2761.90476190476 71.4014285714286 1128.57142857143 626.190476190476 608.571428571429
"2013-06-09" 2013-06-09 2476.81972789116 1457.5 2594.26870748299 1306.74603174603 2073.02721088435 3085.71428571429 2000.71428571429 9555.35714285714 2776.19047619048 72.08 1493.72448979592 767.312925170068 632.80612244898
"2013-06-16" 2013-06-16 2571.25850340136 1289.28571428571 2995.45454545455 1211.19047619048 2026.62337662338 3110.15769944341 2052.20779220779 11666.6666666667 2833.33333333333 72.44 1428.8961038961 760.064935064935 641.688311688312
"2013-06-23" 2013-06-23 2536.90476190476 1253.57142857143 3606.63265306122 1728.57142857143 2245.2380952381 3029.59183673469 1908.79120879121 11267.8571428571 2771.42857142857 74.6 1642.85714285714 836.904761904762 686.904761904762
"2013-06-30" 2013-06-30 2492.07221350078 1348.21428571429 3551.36054421769 1907.14285714286 2083.75850340136 3426.02040816327 2010.43956043956 10096.4285714286 2750 75.2571428571429 1745.40816326531 1072.53401360544 599.149659863946
"2013-07-07" 2013-07-07 2175.27472527473 1267.85714285714 3528.57142857143 1705.35714285714 2292.85714285714 3250 3004.94505494505 8785.71428571429 2696.42857142857 75.79 1439.28571428571 1242.85714285714 624.285714285714
"2013-07-14" 2013-07-14 1359.18367346939 1139.28571428571 2756.2074829932 1542.85714285714 2284.26870748299 3645.40816326531 1989.0306122449 9000 2735.71428571429 75.79 932.65306122449 1336.90476190476 711.275510204082
"2013-07-21" 2013-07-21 1689.58333333333 1250 3237.24489795918 1500 2440.77380952381 3869.04761904762 2132.65306122449 9000 2750 77.73 1094.64285714286 1291.42857142857 926.224489795918
"2013-07-28" 2013-07-28 1978.57142857143 1121.42857142857 2989.28571428571 1371.42857142857 1726.78571428571 3589.28571428571 1779.59183673469 9071.42857142857 4125 77.73 1170.2380952381 1022.61904761905 957.857142857143
"2013-08-04" 2013-08-04 2413.26530612245 1190.47619047619 3094.38775510204 1209.52380952381 1048.80952380952 3433.67346938776 1174.82993197279 9130.95238095238 2750 78.2328571428571 1510.71428571429 1300 1120.31746031746
"2013-08-11" 2013-08-11 3026.80375180375 1194.56349206349 3180.75396825397 1471.25080801551 1085.31746031746 3500 1017.24951519069 8236.50793650794 2750 78.61 1909.97474747475 1741.66666666667 1232.36111111111
"2013-08-18" 2013-08-18 3089.39393939394 1214.28571428571 3250 1496.15384615385 1192.43697478992 3500 1002.30769230769 7500 2750 78.61 1984.84848484848 1741.66666666667 1281.25721500722
"2013-08-25" 2013-08-25 3089.39393939394 1216.66666666667 3250 1496.15384615385 1191.17647058824 3500 1002.30769230769 7500 2750 78.61 1984.84848484848 1741.66666666667 1252.24489795918
"2013-09-01" 2013-09-01 2984.15881504117 1216.66666666667 3250 1457.10955710956 1191.17647058824 3500 985.987639811169 7500 2750 79.0328571428571 1948.62490450726 1365.47619047619 1105.45454545455
"2013-09-08" 2013-09-08 1717.85714285714 1154.16666666667 2245.03968253968 953.571428571429 803.174603174603 2067.46031746032 651.904761904762 6785.71428571429 3011.30952380952 81.57 1389.28571428571 633.333333333333 1058.75350140056
