Min Price potato,Max Price potato,Modal Price potato,Price Date
750,950,850,2006/11/17
800,1000,900,2006/11/19
800,1000,900,2006/11/20
700,1000,850,2006/11/28
700,1000,850,2006/11/29
700,1000,850,2006/11/30
500,800,650,2006/12/12
750,875,812,2006/12/13
750,875,812,2006/12/14
400,750,575,2006/12/18
400,750,575,2006/12/19
500,950,725,2006/12/20
500,950,725,2006/12/21
500,950,725,2006/12/22
325,500,412,2007/01/15
325,500,412,2007/01/16
350,500,425,2007/01/17
350,500,425,2007/01/18
350,500,425,2007/01/19
375,500,437,2007/01/20
350,425,387,2007/01/21
350,425,387,2007/01/22
400,450,425,2007/01/23
400,450,425,2007/01/24
400,450,425,2007/01/25
400,475,437,2007/01/27
425,550,487,2007/01/28
425,550,487,2007/01/29
400,550,475,2007/02/04
400,550,475,2007/02/05
400,500,450,2007/02/06
400,525,462,2007/02/07
375,500,437,2007/02/08
375,500,437,2007/02/09
450,600,525,2007/02/11
450,600,575,2007/02/12
525,600,562,2007/02/13
525,600,562,2007/02/14
400,550,475,2007/02/18
400,550,475,2007/02/19
400,750,487,2007/02/20
425,550,487,2007/02/21
425,550,487,2007/02/22
400,550,475,2007/02/24
400,550,475,2007/02/25
400,550,475,2007/02/26
450,575,512,2007/02/27
450,575,512,2007/02/28
450,600,525,2007/03/01
450,550,500,2007/03/03
450,600,525,2007/03/05
450,600,525,2007/03/06
450,550,500,2007/03/08
500,625,562,2007/03/10
500,625,562,2007/03/11
500,600,550,2007/03/12
500,625,562,2007/03/13
525,600,562,2007/03/14
400,475,437,2007/03/18
400,475,437,2007/03/19
400,500,450,2007/03/20
425,575,500,2007/03/21
425,575,500,2007/03/22
400,550,475,2007/03/24
400,550,475,2007/03/25
400,550,475,2007/03/31
500,625,562,2007/04/02
400,600,500,2007/04/04
400,600,500,2007/04/05
450,625,537,2007/04/07
450,625,537,2007/04/08
500,600,550,2007/04/10
400,500,450,2007/04/11
575,675,625,2007/04/14
525,675,625,2007/04/15
575,675,625,2007/04/16
700,750,725,2007/04/17
650,750,700,2007/04/18
725,750,738,2007/04/19
700,750,725,2007/04/21
700,750,725,2007/04/22
600,725,662,2007/04/23
600,725,662,2007/04/24
650,800,725,2007/05/05
650,800,725,2007/05/06
700,800,750,2007/05/07
675,750,712,2007/05/08
675,750,712,2007/05/09
650,700,675,2007/05/10
675,775,725,2007/05/12
675,775,725,2007/05/13
675,775,725,2007/05/14
650,775,712,2007/05/15
675,775,725,2007/05/16
675,775,725,2007/05/17
625,800,712,2007/05/19
625,800,712,2007/05/20
625,800,712,2007/05/21
625,800,712,2007/05/22
650,775,712,2007/05/23
700,750,725,2007/05/24
650,775,712,2007/05/26
650,775,712,2007/05/27
700,775,737,2007/05/29
700,775,737,2007/05/31
750,900,825,2007/06/02
750,900,825,2007/06/03
750,850,800,2007/06/04
700,800,750,2007/06/05
750,850,800,2007/06/06
700,850,775,2007/06/07
675,800,687,2007/06/10
675,800,787,2007/06/11
675,800,737,2007/06/12
700,850,775,2007/06/13
750,875,812,2007/06/14
750,875,812,2007/07/01
750,875,812,2007/07/02
750,875,812,2007/07/03
900,975,937,2007/07/04
900,975,945,2007/07/05
925,1000,962,2007/07/06
800,925,862,2007/07/08
800,925,862,2007/07/09
800,925,862,2007/07/10
750,850,800,2007/07/11
750,900,825,2007/07/12
750,875,812,2007/07/13
750,950,850,2007/07/21
750,950,850,2007/07/22
750,950,850,2007/07/23
800,900,850,2007/07/24
800,900,850,2007/07/25
800,900,850,2007/07/26
800,900,850,2007/07/28
800,900,850,2007/07/29
800,900,850,2007/07/30
800,900,850,2007/08/01
800,900,850,2007/08/02
800,900,850,2007/08/05
800,900,850,2007/08/06
800,900,850,2007/08/07
800,900,850,2007/08/08
800,900,850,2007/08/09
875,925,900,2007/08/10
825,925,875,2007/08/13
825,925,875,2007/08/14
825,925,875,2007/08/16
825,925,862,2007/08/18
825,925,862,2007/08/19
875,1000,937,2007/08/20
875,950,912,2007/08/23
850,925,887,2007/08/25
850,925,887,2007/08/26
875,925,900,2007/08/27
925,950,937,2007/08/28
900,950,925,2007/08/29
900,950,925,2007/08/30
850,950,900,2007/09/01
850,950,900,2007/09/02
975,1000,987,2007/09/03
850,950,900,2007/09/09
850,950,900,2007/09/10
850,925,887,2007/09/12
850,925,887,2007/09/13
875,950,912,2007/09/15
875,950,912,2007/09/16
875,950,912,2007/09/17
875,950,912,2007/09/18
875,925,900,2007/09/19
875,925,900,2007/09/20
850,925,887,2007/09/22
850,925,887,2007/09/23
850,925,887,2007/09/24
825,925,875,2007/09/25
850,925,887,2007/09/26
850,950,900,2007/09/27
850,1000,925,2007/09/29
850,1000,925,2007/09/30
850,1000,925,2007/10/01
