,Week,dengue,dengue.symptoms,dengue.mosqito,treatment.for.dengue,dengue.mosquito,Dengue.fever,Dengue.Fever.band,dengue.ke.lakshan,how.to.cure.dengue.at.home,dengue.fever.prevention
194,2015-11-08,32,11,23,29,19,32,49,17,26,13
195,2015-11-15,28,9,23,34,22,29,0,16,49,34
196,2015-11-22,24,8,23,19,19,23,0,6,25,22
197,2015-11-29,19,6,24,21,14,19,0,6,25,19
198,2015-12-06,16,5,24,21,12,16,0,6,25,19
199,2015-12-13,15,5,24,16,9,14,0,6,0,16
200,2015-12-20,12,4,25,16,8,12,0,6,0,7
201,2015-12-27,10,3,0,15,8,10,0,7,0,16
202,2016-01-03,10,3,0,7,7,10,0,13,0,12
203,2016-01-10,8,2,0,9,5,9,0,6,0,9
204,2016-01-17,8,2,0,7,5,8,0,12,0,6
205,2016-01-24,8,2,0,11,7,9,0,6,0,9
206,2016-01-31,8,2,0,4,7,8,0,6,0,11
207,2016-02-07,8,2,0,9,7,8,0,6,0,28
208,2016-02-14,7,2,0,8,7,7,0,6,0,19
209,2016-02-21,7,2,0,4,7,8,0,6,0,6
210,2016-02-28,8,2,0,10,7,8,0,6,0,6
211,2016-03-06,7,1,0,5,6,9,0,6,0,6
212,2016-03-13,7,1,21,4,9,8,0,6,0,17
213,2016-03-20,6,1,0,4,3,6,0,0,0,6
214,2016-03-27,5,1,0,11,5,5,0,0,0,11
215,2016-04-03,5,1,0,3,5,6,0,0,23,9
216,2016-04-10,5,1,0,3,6,5,0,0,23,10
217,2016-04-17,5,1,0,7,4,5,0,0,0,12
218,2016-04-24,5,1,0,3,4,5,0,0,0,6
219,2016-05-01,5,1,0,4,3,5,0,0,0,6
220,2016-05-08,5,1,0,4,4,5,0,6,0,11
221,2016-05-15,5,1,0,3,3,5,0,5,0,5
222,2016-05-22,6,1,0,3,4,6,0,5,0,5
223,2016-05-29,6,1,0,13,4,6,0,6,0,5
224,2016-06-05,7,2,0,5,6,7,0,5,0,14
225,2016-06-12,9,2,20,8,7,9,0,5,0,11
226,2016-06-19,10,3,20,17,6,11,0,5,0,8
227,2016-06-26,12,4,19,17,7,12,0,5,0,16
228,2016-07-03,14,5,19,16,12,14,20,5,0,19
229,2016-07-10,18,7,19,11,15,17,19,5,22,14
230,2016-07-17,20,7,19,14,19,19,19,5,21,31
231,2016-07-24,23,8,19,17,21,22,57,8,20,20
232,2016-07-31,32,12,19,20,36,32,19,21,20,23
233,2016-08-07,36,13,19,24,32,36,19,18,20,20
234,2016-08-14,36,13,19,37,26,34,19,19,21,26
235,2016-08-21,44,16,19,45,33,42,19,24,27,16
236,2016-08-28,53,20,40,73,41,52,26,48,31,32
237,2016-09-04,55,20,20,51,41,55,33,49,50,27
238,2016-09-11,68,23,20,66,62,69,39,62,42,22
239,2016-09-18,81,26,50,75,94,81,20,100,57,48
240,2016-09-25,64,22,40,65,61,63,20,57,86,30
241,2016-10-02,52,17,21,51,42,54,21,58,80,16
242,2016-10-09,48,16,21,50,43,50,22,26,78,21
243,2016-10-16,47,15,21,56,36,48,22,40,45,23
244,2016-10-23,41,13,22,44,31,41,22,41,47,18
245,2016-10-30,38,11,22,39,27,38,45,52,24,18
246,2016-11-06,31,9,22,24,24,30,43,15,23,18
247,2016-11-13,23,7,23,23,17,23,22,21,24,21
248,2016-11-20,17,5,23,17,13,17,22,12,24,9
249,2016-11-27,13,4,0,19,10,14,22,6,24,12
250,2016-12-04,11,3,0,11,5,10,0,6,24,12
251,2016-12-11,9,2,0,8,6,8,0,12,24,6
252,2016-12-18,7,2,0,6,3,8,0,12,23,9
253,2016-12-25,7,2,0,9,4,7,0,6,23,6
254,2017-01-01,7,2,0,7,5,7,0,6,23,6
255,2017-01-08,7,2,0,8,5,6,0,6,0,12
256,2017-01-15,6,1,22,2,4,6,0,6,0,6
257,2017-01-22,6,1,0,7,4,7,0,6,0,6
258,2017-01-29,6,2,0,2,4,5,0,6,0,12
259,2017-02-05,6,1,0,6,5,6,0,0,0,9
260,2017-02-12,6,2,0,3,6,6,0,0,0,15
