Modal Price ginger,Price Date
3400,2015/08/20
3500,2015/08/21
4500,2015/08/23
3900,2015/08/24
4000,2015/08/25
3600,2015/08/26
3700,2015/08/27
3500,2015/08/28
3400,2015/08/30
3600,2015/08/31
3500,2015/09/01
3200,2015/09/02
3600,2015/09/03
3500,2015/09/04
3500,2015/09/06
2600,2015/09/07
3400,2015/09/08
3300,2015/09/09
4000,2015/09/10
3500,2015/09/11
3300,2015/09/14
4200,2015/09/15
2500,2015/09/16
4000,2015/09/18
3300,2015/09/20
3200,2015/09/21
3000,2015/09/22
3000,2015/09/23
3600,2015/09/24
3300,2015/09/25
3000,2015/09/27
4000,2015/09/29
3000,2015/09/30
3600,2015/10/01
3200,2015/10/02
3700,2015/10/04
3000,2015/10/05
3500,2015/10/06
3300,2015/10/07
3900,2015/10/08
4000,2015/10/09
3200,2015/10/11
4000,2015/10/11
3000,2015/10/12
3600,2015/10/13
3600,2015/10/14
3400,2015/10/15
3830,2015/10/15
3500,2015/10/16
3600,2015/10/18
3000,2015/10/19
3700,2015/10/20
3000,2015/10/21
3400,2015/10/27
3800,2015/10/28
3500,2015/10/28
2700,2015/10/29
3830,2015/10/29
3600,2015/10/30
4000,2015/10/30
3500,2015/10/31
3000,2015/11/01
3200,2015/11/02
3200,2015/11/03
3000,2015/11/04
3200,2015/11/05
3500,2015/11/06
3200,2015/11/08
3300,2015/11/15
3000,2015/11/17
3000,2015/11/18
3200,2015/11/19
3000,2015/11/20
2700,2015/11/22
3000,2015/11/23
2400,2015/11/24
2800,2015/11/25
2400,2015/11/26
2900,2015/11/27
2700,2015/11/29
3500,2015/11/30
2600,2015/12/01
2800,2015/12/02
2700,2015/12/03
2500,2015/12/04
2700,2015/12/07
2900,2015/12/08
2600,2015/12/09
2700,2015/12/10
2800,2015/12/11
3500,2015/12/11
2500,2015/12/13
2600,2015/12/14
2600,2015/12/15
3500,2015/12/15
2700,2015/12/16
2700,2015/12/17
2700,2015/12/18
3500,2015/12/19
2500,2015/12/21
2600,2015/12/22
2600,2015/12/23
2700,2015/12/27
2800,2015/12/29
2800,2015/12/30
2900,2015/12/31
2700,2016/01/01
3500,2016/01/02
2700,2016/01/03
2700,2016/01/04
2600,2016/01/05
2800,2016/01/06
2600,2016/01/07
2700,2016/01/08
2800,2016/01/10
2700,2016/01/11
2800,2016/01/12
2800,2016/01/13
3500,2016/01/13
2700,2016/01/14
3500,2016/01/14
2700,2016/01/15
2700,2016/01/18
2800,2016/01/19
2800,2016/01/20
2700,2016/01/21
2700,2016/01/22
2800,2016/01/24
2700,2016/01/25
2700,2016/01/27
2700,2016/01/28
2800,2016/01/29
3500,2016/01/29
2500,2016/01/31
2600,2016/02/01
3500,2016/02/01
2500,2016/02/02
2500,2016/02/03
3500,2016/02/03
2600,2016/02/04
3500,2016/02/04
2600,2016/02/05
3500,2016/02/05
2600,2016/02/07
2700,2016/02/08
3500,2016/02/08
2700,2016/02/09
2500,2016/02/10
3500,2016/02/10
2500,2016/02/14
2500,2016/02/15
2500,2016/02/16
2500,2016/02/17
3260,2016/02/17
2500,2016/02/18
3260,2016/02/18
2500,2016/02/19
2500,2016/02/21
2500,2016/02/22
3500,2016/02/22
2500,2016/02/23
3500,2016/02/23
2500,2016/02/24
2500,2016/02/25
3500,2016/02/25
2500,2016/02/26
3500,2016/02/26
2200,2016/02/28
3500,2016/02/28
2500,2016/02/29
3500,2016/02/29
2500,2016/03/01
2500,2016/03/02
3500,2016/03/02
2500,2016/03/04
2500,2016/03/06
2600,2016/03/08
2600,2016/03/09
2500,2016/03/10
2300,2016/03/11
2500,2016/03/13
2500,2016/03/14
2300,2016/03/15
2300,2016/03/16
2200,2016/03/17
2200,2016/03/18
2200,2016/03/20
2200,2016/03/21
2200,2016/03/22
2000,2016/03/23
2300,2016/03/27
2200,2016/03/28
2200,2016/03/29
2200,2016/03/30
2200,2016/03/31
1400,2016/04/01
2500,2016/04/04
2200,2016/04/05
3000,2016/04/05
2200,2016/04/06
2200,2016/04/07
3000,2016/04/07
2200,2016/04/10
2200,2016/04/11
3000,2016/04/11
2200,2016/04/12
2200,2016/04/13
2200,2016/04/17
2200,2016/04/18
2200,2016/04/20
2200,2016/04/21
2200,2016/04/22
2200,2016/04/24
2200,2016/04/25
2000,2016/04/26
2200,2016/04/27
2200,2016/04/28
2200,2016/04/29
2200,2016/05/05
2500,2016/05/06
2200,2016/05/08
2300,2016/05/09
2200,2016/05/10
2200,2016/05/11
2200,2016/05/12
2200,2016/05/13
2200,2016/05/15
2300,2016/05/16
2300,2016/05/17
2300,2016/05/18
2300,2016/05/19
2200,2016/05/20
2400,2016/05/22
2500,2016/05/23
1100,2016/05/24
2400,2016/05/26
2200,2016/05/27
2400,2016/05/30
2400,2016/05/31
2500,2016/06/01
2700,2016/06/02
2600,2016/06/03
2600,2016/06/05
3200,2016/06/06
3200,2016/06/07
3200,2016/06/08
3300,2016/06/09
3300,2016/06/10
2750,2016/06/11
3400,2016/06/12
3400,2016/06/13
3000,2016/06/13
3200,2016/06/14
3000,2016/06/15
3000,2016/06/16
3000,2016/06/17
3000,2016/06/19
2700,2016/06/20
2700,2016/06/21
2700,2016/06/22
2700,2016/06/23
2700,2016/06/24
2700,2016/06/26
2600,2016/06/27
2800,2016/06/28
2700,2016/06/29
2500,2016/06/30
2600,2016/07/01
2700,2016/07/03
3000,2016/07/05
3000,2016/07/06
3300,2016/07/07
3200,2016/07/08
3200,2016/07/10
3000,2016/07/14
3800,2016/07/15
3000,2016/07/17
2600,2016/07/18
2800,2016/07/19
2700,2016/07/20
2400,2016/07/21
2600,2016/07/22
2400,2016/07/24
2300,2016/07/25
2300,2016/07/26
2300,2016/07/27
1800,2016/07/28
2300,2016/07/29
2100,2016/07/31
2000,2016/08/01
1700,2016/08/02
2400,2016/08/03
2000,2016/08/04
3000,2016/08/05
3600,2016/08/07
3600,2016/08/08
2500,2016/08/09
2500,2016/08/10
2700,2016/08/11
2300,2016/08/12
2000,2016/08/14
2400,2016/08/16
2400,2016/08/17
1800,2016/08/18
2400,2016/08/19
2000,2016/08/21
1900,2016/08/22
2000,2016/08/23
2000,2016/08/24
6000,2016/08/24
1600,2016/08/25
6000,2016/08/25
1800,2016/08/26
6000,2016/08/26
2000,2016/08/28
6000,2016/08/28
2000,2016/08/29
6000,2016/08/29
2400,2016/08/30
2300,2016/08/31
2000,2016/09/01
6000,2016/09/01
2000,2016/09/02
2000,2016/09/04
1600,2016/09/05
2000,2016/09/06
1500,2016/09/07
2000,2016/09/08
2300,2016/09/11
2000,2016/09/12
1700,2016/09/13
1700,2016/09/14
1800,2016/09/15
2400,2016/09/18
1800,2016/09/19
2400,2016/09/20
2400,2016/09/22
2400,2016/09/23
2400,2016/09/26
2400,2016/09/27
2400,2016/09/28
1500,2016/09/29
1600,2016/09/30
1600,2016/10/02
1500,2016/10/03
1400,2016/10/04
1500,2016/10/05
2300,2016/10/06
2200,2016/10/07
1400,2016/10/09
1400,2016/10/10
1400,2016/10/11
1400,2016/10/13
1900,2016/10/14
2200,2016/10/16
2000,2016/10/17
