Modal PriceBrinjal,Price Date
1500,2014/07/08
1500,2014/07/08
1600,2014/07/09
1750,2014/07/09
1300,2014/07/10
1250,2014/07/10
1100,2014/07/11
1150,2014/07/11
2500,2014/07/11
1100,2014/07/13
1350,2014/07/13
2000,2014/07/13
1150,2014/07/14
1200,2014/07/14
1400,2014/07/14
1100,2014/07/15
1250,2014/07/15
1350,2014/07/15
1150,2014/07/16
1350,2014/07/16
1050,2014/07/17
1500,2014/07/17
1275,2014/07/17
900,2014/07/18
850,2014/07/18
1350,2014/07/18
1100,2014/07/19
1200,2014/07/20
1200,2014/07/20
1050,2014/07/21
1150,2014/07/21
1250,2014/07/21
1050,2014/07/22
1350,2014/07/22
1350,2014/07/22
1200,2014/07/23
1050,2014/07/24
900,2014/07/24
1250,2014/07/24
1150,2014/07/25
1250,2014/07/25
1500,2014/07/25
1050,2014/07/26
1400,2014/07/26
1250,2014/07/27
1250,2014/07/27
1350,2014/07/27
1350,2014/07/28
1250,2014/07/28
1850,2014/07/28
1500,2014/07/29
1500,2014/07/29
1100,2014/07/30
1200,2014/07/30
1400,2014/07/31
1400,2014/07/31
2250,2014/07/31
1750,2014/08/01
1250,2014/08/01
2500,2014/08/02
2400,2014/08/02
2000,2014/08/03
2000,2014/08/03
2000,2014/08/03
2250,2014/08/04
2000,2014/08/04
1750,2014/08/04
2500,2014/08/05
2000,2014/08/05
2000,2014/08/06
2000,2014/08/06
3000,2014/08/06
2250,2014/08/07
2500,2014/08/07
2750,2014/08/07
2250,2014/08/08
2150,2014/08/08
3000,2014/08/08
2750,2014/08/09
2800,2014/08/09
2150,2014/08/10
2750,2014/08/10
2150,2014/08/11
2750,2014/08/11
2000,2014/08/12
2350,2014/08/12
2500,2014/08/12
2000,2014/08/13
2000,2014/08/13
3000,2014/08/13
2250,2014/08/14
2500,2014/08/14
1500,2014/08/14
2750,2014/08/15
2500,2014/08/16
2150,2014/08/17
2000,2014/08/17
3000,2014/08/17
1500,2014/08/18
1900,2014/08/18
1500,2014/08/19
1400,2014/08/20
1850,2014/08/20
1500,2014/08/21
1250,2014/08/21
2250,2014/08/21
1500,2014/08/22
1500,2014/08/22
1400,2014/08/24
2000,2014/08/24
1200,2014/08/25
1500,2014/08/25
1500,2014/08/26
1750,2014/08/26
1500,2014/08/27
1500,2014/08/27
1500,2014/08/28
2200,2014/08/28
2200,2014/08/28
1000,2014/08/29
1250,2014/08/29
2000,2014/08/30
1250,2014/08/31
1600,2014/09/01
2000,2014/09/01
1500,2014/09/02
1250,2014/09/02
2000,2014/09/03
1500,2014/09/03
1850,2014/09/04
2000,2014/09/04
2000,2014/09/05
1500,2014/09/05
1850,2014/09/07
1750,2014/09/07
2250,2014/09/08
2050,2014/09/08
2500,2014/09/09
1600,2014/09/10
1900,2014/09/10
2500,2014/09/10
2250,2014/09/11
1850,2014/09/12
2000,2014/09/12
2750,2014/09/13
3000,2014/09/13
2250,2014/09/14
2000,2014/09/14
2250,2014/09/15
2250,2014/09/15
2250,2014/09/16
1250,2014/09/16
2000,2014/09/17
2750,2014/09/17
2000,2014/09/18
