Modal PriceLadiesfing,Price Date
3200,2016/03/27
3500,2016/03/28
3200,2016/03/29
3600,2016/03/30
3500,2016/03/31
3200,2016/04/01
3600,2016/04/04
3600,2016/04/05
3600,2016/04/06
3200,2016/04/07
3500,2016/04/10
3500,2016/04/11
3500,2016/04/12
3600,2016/04/17
3600,2016/04/18
2700,2016/04/20
3200,2016/04/21
3500,2016/04/22
2700,2016/04/24
2700,2016/04/25
3000,2016/04/26
3200,2016/04/27
3600,2016/04/28
3000,2016/04/29
3700,2016/05/05
2500,2016/05/06
3600,2016/05/08
3500,2016/05/09
3500,2016/05/10
3200,2016/05/11
3500,2016/05/12
2700,2016/05/13
3700,2016/05/15
3200,2016/05/16
2700,2016/05/17
2700,2016/05/18
2600,2016/05/19
2700,2016/05/20
2700,2016/05/22
2600,2016/05/23
2600,2016/05/24
2600,2016/05/25
2700,2016/05/26
2700,2016/05/27
3000,2016/05/30
3100,2016/05/31
3600,2016/06/01
3600,2016/06/02
3500,2016/06/03
4300,2016/06/05
3500,2016/06/06
4200,2016/06/07
4200,2016/06/09
4700,2016/06/10
3500,2016/06/12
4200,2016/06/13
4200,2016/06/14
4000,2016/06/15
4200,2016/06/16
4200,2016/06/17
4200,2016/06/19
4200,2016/06/20
4200,2016/06/21
4600,2016/06/22
4200,2016/06/23
4700,2016/06/24
4200,2016/06/26
4200,2016/06/27
3500,2016/06/28
4300,2016/06/29
3600,2016/06/30
3500,2016/07/01
3700,2016/07/03
3500,2016/07/05
3600,2016/07/06
3700,2016/07/07
3200,2016/07/08
2500,2016/07/10
5000,2016/07/11
4000,2016/07/12
3500,2016/07/13
4000,2016/07/14
3700,2016/07/15
3200,2016/07/17
3000,2016/07/18
2700,2016/07/19
3400,2016/07/20
3500,2016/07/21
3800,2016/07/22
3600,2016/07/24
3500,2016/07/25
3200,2016/07/26
2700,2016/07/27
2000,2016/07/28
1800,2016/07/29
1800,2016/07/31
2000,2016/08/01
2000,2016/08/02
2200,2016/08/03
1800,2016/08/04
1800,2016/08/05
1800,2016/08/07
2300,2016/08/08
2300,2016/08/09
2200,2016/08/10
2300,2016/08/11
1800,2016/08/12
1600,2016/08/14
2000,2016/08/16
2000,2016/08/17
1700,2016/08/18
1800,2016/08/19
1800,2016/08/21
1200,2016/08/22
1700,2016/08/23
1200,2016/08/24
1600,2016/08/25
1400,2016/08/26
1400,2016/08/28
1200,2016/08/29
1300,2016/08/30
1400,2016/08/31
1200,2016/09/01
1300,2016/09/02
1000,2016/09/04
1400,2016/09/05
1400,2016/09/06
1600,2016/09/07
1600,2016/09/08
1600,2016/09/11
1700,2016/09/12
1400,2016/09/13
1400,2016/09/14
1400,2016/09/15
2060,2016/09/16
1700,2016/09/18
1800,2016/09/19
1600,2016/09/20
1600,2016/09/22
2200,2016/09/23
2500,2016/09/26
2500,2016/09/28
3500,2016/09/29
3500,2016/09/30
2500,2016/10/02
2600,2016/10/03
3200,2016/10/04
3000,2016/10/05
2500,2016/10/06
3500,2016/10/07
3500,2016/10/09
3200,2016/10/10
2500,2016/10/11
2500,2016/10/13
2500,2016/10/14
2500,2016/10/16
2500,2016/10/17
2500,2016/10/18
3500,2016/10/19
2500,2016/10/20
2500,2016/10/21
2500,2016/10/23
2500,2016/10/24
2500,2016/10/25
2600,2016/10/26
2300,2016/10/27
2200,2016/10/28
2500,2016/10/30
2200,2016/10/31
2500,2016/11/02
2700,2016/11/03
2300,2016/11/04
1600,2016/11/06
2300,2016/11/07
2500,2016/11/08
3200,2016/11/09
3500,2016/11/10
3200,2016/11/11
3100,2016/11/13
3200,2016/11/14
3500,2016/11/15
3700,2016/11/16
3700,2016/11/17
3500,2016/11/18
3400,2016/11/20
3500,2016/11/21
3700,2016/11/22
3500,2016/11/23
2500,2016/11/24
3700,2016/11/25
3700,2016/11/27
4300,2016/11/28
3700,2016/11/29
3700,2016/11/30
3500,2016/12/01
2600,2016/12/02
3700,2016/12/04
3600,2016/12/05
3500,2016/12/06
2600,2016/12/07
2500,2016/12/08
2500,2016/12/09
3200,2016/12/11
3200,2016/12/13
2700,2016/12/14
3200,2016/12/15
3700,2016/12/16
2700,2016/12/18
2800,2016/12/19
