Modal PriceLadiesfing,Price Date
2260,2016/08/05
2600,2016/08/06
2830,2016/08/07
2800,2016/08/08
2500,2016/08/09
2530,2016/08/10
2560,2016/08/11
2830,2016/08/12
2660,2016/08/13
2600,2016/08/14
2660,2016/08/15
2830,2016/08/16
2830,2016/08/18
2860,2016/08/19
2000,2016/08/20
2830,2016/08/21
2130,2016/08/22
2100,2016/08/23
1830,2016/08/24
1400,2016/08/25
1500,2016/08/26
1430,2016/08/27
1830,2016/08/28
1400,2016/08/29
1400,2016/08/30
1400,2016/08/31
1630,2016/09/01
1600,2016/09/04
1500,2016/09/05
1500,2016/09/06
1730,2016/09/07
1900,2016/09/08
1900,2016/09/09
1860,2016/09/10
1930,2016/09/11
1860,2016/09/12
1830,2016/09/13
1860,2016/09/14
2160,2016/09/15
2060,2016/09/16
1700,2016/09/17
1900,2016/09/18
2160,2016/09/19
1900,2016/09/20
2330,2016/09/22
2330,2016/09/23
2830,2016/09/25
3160,2016/09/26
3000,2016/09/27
2830,2016/09/28
2760,2016/09/29
2730,2016/09/30
2830,2016/10/01
2830,2016/10/02
2830,2016/10/03
2560,2016/10/04
2830,2016/10/05
2960,2016/10/06
3330,2016/10/07
3500,2016/10/08
3600,2016/10/09
3330,2016/10/10
3000,2016/10/11
2660,2016/10/12
2830,2016/10/13
2660,2016/10/14
2330,2016/10/15
2830,2016/10/16
3660,2016/10/17
3660,2016/10/18
2700,2016/10/19
3460,2016/10/20
3660,2016/10/21
3030,2016/10/22
3130,2016/10/23
3670,2016/10/24
3660,2016/10/26
3330,2016/10/27
3330,2016/10/28
3160,2016/10/29
3160,2016/10/30
2660,2016/10/31
3660,2016/11/01
3160,2016/11/02
3330,2016/11/03
2830,2016/11/04
3000,2016/11/05
3330,2016/11/06
3330,2016/11/07
3660,2016/11/08
3330,2016/11/09
3830,2016/11/11
4030,2016/11/12
5330,2016/11/13
4330,2016/11/14
3830,2016/11/15
4660,2016/11/16
4160,2016/11/17
3500,2016/11/18
3330,2016/11/19
3660,2016/11/20
3460,2016/11/22
3830,2016/11/23
4000,2016/11/24
3830,2016/11/26
4130,2016/11/27
4660,2016/11/28
4330,2016/11/29
4330,2016/11/30
4330,2016/12/02
3500,2016/12/03
4160,2016/12/04
3000,2016/12/05
3630,2016/12/06
3830,2016/12/07
3000,2016/12/08
3670,2016/12/09
3500,2016/12/10
3660,2016/12/11
3250,2016/12/12
3000,2016/12/13
2500,2016/12/14
3500,2016/12/15
3250,2016/12/16
2500,2016/12/18
3000,2016/12/19
3500,2016/12/20
2750,2016/12/22
3000,2016/12/23
3250,2016/12/24
3500,2016/12/25
3500,2016/12/26
3000,2016/12/27
3000,2016/12/29
3000,2017/01/03
3000,2017/01/04
3000,2017/01/05
3500,2017/01/06
3500,2017/01/08
3000,2017/01/09
3000,2017/01/11
3150,2017/01/15
3000,2017/01/16
3000,2017/01/17
3000,2017/01/18
3000,2017/01/24
3000,2017/01/25
3000,2017/01/27
3000,2017/01/29
3000,2017/01/30
3500,2017/02/02
3000,2017/02/05
3000,2017/02/07
3000,2017/02/08
3000,2017/02/09
3000,2017/02/10
3000,2017/02/12
3000,2017/02/13
3000,2017/02/14
3000,2017/02/16
3000,2017/02/17
3000,2017/02/20
3000,2017/02/22
3000,2017/02/23
3500,2017/02/28
3000,2017/03/01
3500,2017/03/03
2900,2017/03/06
2000,2017/03/09
2000,2017/03/13
3500,2017/03/18
3500,2017/03/19
3250,2017/03/20
3500,2017/03/21
3500,2017/03/22
3500,2017/03/23
4000,2017/03/24
3500,2017/03/26
3500,2017/03/27
4000,2017/03/28
3500,2017/03/29
4000,2017/03/30
3500,2017/03/31
3500,2017/04/01
4000,2017/04/02
3500,2017/04/03
3500,2017/04/04
3500,2017/04/05
4000,2017/04/06
3250,2017/04/07
3500,2017/04/09
