Modal Price termaric, Date
4000,2008/02/15
4000,2008/02/16
3550,2008/02/18
4250,2008/02/20
4250,2008/02/21
3900,2008/02/22
3900,2008/02/23
4250,2008/02/25
3640,2008/02/26
4000,2008/02/28
4350,2008/02/29
3850,2008/03/03
3950,2008/03/04
4000,2008/03/07
4600,2008/03/08
3900,2008/03/10
4850,2008/03/11
3850,2008/03/12
4000,2008/03/13
4650,2008/03/14
4200,2008/03/18
4750,2008/03/19
4750,2008/03/20
4200,2008/03/21
3800,2008/03/22
3850,2008/03/24
3850,2008/03/25
4300,2008/03/26
4300,2008/03/27
4100,2008/03/28
3300,2008/03/29
3750,2008/03/31
3550,2008/04/01
4600,2008/04/02
4600,2008/04/03
4000,2008/04/04
4250,2008/04/05
4600,2008/04/14
3750,2008/04/15
4600,2008/04/18
4550,2008/04/19
3850,2008/04/22
3850,2008/04/23
4000,2008/04/26
4650,2008/04/28
4000,2008/04/29
3800,2008/04/30
4650,2008/05/03
4600,2008/05/07
4700,2008/05/08
4700,2008/05/09
3900,2008/05/10
4700,2008/05/12
3900,2008/05/13
3900,2008/05/14
3900,2008/05/15
4950,2008/05/16
4100,2008/05/17
4100,2008/05/19
4700,2008/05/20
4500,2008/05/23
4325,2008/05/24
4400,2008/05/26
4300,2008/05/27
4300,2008/05/28
4500,2008/05/29
5000,2008/05/30
4400,2008/05/31
4400,2008/06/02
4400,2008/06/03
4650,2008/06/04
4750,2008/06/05
4750,2008/06/06
5000,2008/06/07
5500,2008/06/09
5500,2008/06/10
5450,2008/06/11
5200,2008/06/12
4150,2008/06/13
4250,2008/06/14
4300,2008/06/16
5150,2008/06/17
5450,2008/06/19
5200,2008/06/20
5450,2008/06/25
4450,2008/06/27
4500,2008/06/28
5000,2008/06/30
5500,2008/07/02
4600,2008/07/05
4650,2008/07/07
5150,2008/07/08
4275,2008/07/09
4500,2008/07/10
4500,2008/07/11
4500,2008/07/12
4300,2008/07/14
4400,2008/07/21
4400,2008/07/22
4400,2008/07/25
4250,2008/07/26
4400,2008/07/28
4400,2008/07/29
4400,2008/07/30
4800,2008/08/04
5150,2008/08/05
4650,2008/08/08
4400,2008/08/09
4750,2008/08/11
4750,2008/08/12
4750,2008/08/13
4750,2008/08/14
4750,2008/08/20
4750,2008/08/21
4550,2008/08/26
4400,2008/09/04
4250,2008/09/08
4250,2008/09/09
4250,2008/09/10
5250,2008/09/11
4500,2008/09/15
4750,2008/09/16
4600,2008/09/17
4600,2008/09/18
4550,2008/09/19
4550,2008/09/20
4750,2008/09/24
4550,2008/09/26
4550,2008/09/27
4850,2008/09/29
4850,2008/09/30
4750,2008/10/01
4750,2008/10/02
4500,2008/10/04
4800,2008/10/06
4500,2008/10/09
4600,2008/10/10
4600,2008/10/11
4650,2008/10/13
5150,2008/10/16
4750,2008/10/20
5250,2008/10/24
5250,2008/10/25
5000,2008/10/27
5000,2008/10/30
5000,2008/10/31
4600,2008/11/01
4750,2008/11/03
5000,2008/11/04
5000,2008/11/05
4700,2008/11/10
5050,2008/11/13
5000,2008/11/14
4900,2008/11/15
4900,2008/11/17
5450,2008/11/19
5250,2008/11/21
5250,2008/11/22
4650,2008/11/24
5250,2008/11/26
5000,2008/11/27
4550,2008/11/29
4600,2008/12/01
4600,2008/12/02
5000,2008/12/03
4600,2008/12/04
5200,2008/12/06
5200,2008/12/09
4900,2008/12/11
4900,2008/12/13
5550,2008/12/15
5550,2008/12/16
5150,2008/12/17
5050,2008/12/18
5050,2008/12/19
4850,2008/12/20
4750,2008/12/22
4750,2008/12/24
4850,2008/12/26
4850,2008/12/27
4750,2008/12/30
5250,2008/12/31
4700,2009/01/02
4700,2009/01/03
5500,2009/01/05
4750,2009/01/10
4600,2009/01/12
4600,2009/01/13
4600,2009/01/15
4600,2009/01/16
5500,2009/01/19
4600,2009/01/20
5750,2009/01/21
5750,2009/01/22
5750,2009/01/23
5750,2009/01/24
4000,2009/01/30
5050,2009/02/02
5850,2009/02/04
5850,2009/02/05
4750,2009/02/06
4750,2009/02/09
5500,2009/02/11
5050,2009/02/14
5000,2009/02/16
5000,2009/02/17
5000,2009/02/18
5000,2009/02/20
5000,2009/02/24
5500,2009/02/25
5250,2009/02/26
5250,2009/02/28
5000,2009/03/02
5750,2009/03/10
5750,2009/03/11
5000,2009/03/13
5000,2009/03/14
5250,2009/03/17
5250,2009/03/18
6000,2009/03/19
5350,2009/03/20
5350,2009/03/23
5150,2009/03/24
5350,2009/03/25
5500,2009/03/28
5750,2009/04/01
5900,2009/04/04
5900,2009/05/04
6500,2009/05/05
6500,2009/05/06
6000,2009/05/07
6000,2009/05/08
6000,2009/05/09
6000,2009/05/11
6000,2009/05/12
6000,2009/05/13
6000,2009/05/15
7000,2009/05/16
7000,2009/05/18
7000,2009/05/19
7000,2009/05/20
5750,2009/06/13
6250,2009/06/15
5650,2009/06/18
5000,2009/06/20
5750,2009/06/27
5000,2009/07/01
6750,2009/07/02
6750,2009/07/03
5675,2009/07/04
6850,2009/07/06
5700,2009/07/07
5750,2009/07/08
5525,2009/07/09
6600,2009/07/10
6600,2009/07/11
6100,2009/07/14
5800,2009/07/16
5150,2009/07/17
5500,2009/07/18
6150,2009/07/20
4800,2009/07/21
5125,2009/07/22
5175,2009/07/25
7425,2009/08/08
0,2009/08/10
0,2009/08/11
7500,2009/08/12
7150,2009/08/14
7150,2009/08/17
7150,2009/08/18
7150,2009/08/19
9250,2009/08/20
7500,2009/08/21
7500,2009/08/22
7150,2009/08/24
7250,2009/08/25
9250,2009/08/29
7500,2009/08/31
8000,2009/09/01
8500,2009/09/02
8500,2009/09/03
9200,2009/09/04
9200,2009/09/05
7750,2009/09/07
8500,2009/09/09
8050,2009/09/10
7400,2009/09/11
7400,2009/09/12
6750,2009/09/14
8250,2009/09/15
6925,2009/09/16
8250,2009/09/17
7700,2009/09/18
7700,2009/09/19
7700,2009/09/21
8500,2009/09/22
8500,2009/09/23
7750,2009/09/28
7650,2009/09/29
7100,2009/09/30
7500,2009/10/01
7500,2009/10/02
6800,2009/10/03
9350,2009/10/05
7050,2009/10/07
8400,2009/10/15
7450,2009/10/17
11000,2009/10/20
7250,2009/10/21
8200,2009/10/23
8200,2009/10/24
13000,2009/10/26
9605,2009/10/28
8010,2009/10/31
8010,2009/11/02
7510,2009/11/03
8250,2009/11/04
9375,2009/11/13
9375,2009/11/14
12000,2009/11/21
10450,2009/11/23
14000,2009/11/24
10000,2009/11/25
11500,2009/11/26
11250,2009/11/27
11250,2009/11/28
12500,2009/11/30
10100,2009/12/01
10125,2009/12/02
9125,2009/12/03
11250,2009/12/04
9900,2009/12/05
9900,2009/12/07
10150,2009/12/08
10000,2009/12/09
12750,2009/12/10
12750,2009/12/11
12750,2009/12/12
12750,2009/12/14
9625,2009/12/15
9150,2009/12/16
12250,2009/12/17
11750,2009/12/18
12250,2009/12/19
12250,2009/12/21
12000,2009/12/22
12250,2009/12/23
12500,2009/12/24
12500,2009/12/25
12500,2009/12/26
12500,2009/12/28
12750,2009/12/29
12250,2009/12/30
10500,2009/12/31
10500,2010/01/01
4600,2010/01/02
10500,2010/01/04
10750,2010/01/06
11750,2010/01/07
11750,2010/01/08
11750,2010/01/09
11750,2010/01/11
11750,2010/01/12
11000,2010/01/13
11000,2010/01/14
11750,2010/01/16
11750,2010/01/18
12000,2010/01/22
12000,2010/01/23
12000,2010/01/25
11000,2010/01/27
9500,2010/01/28
8750,2010/01/29
10750,2010/01/30
10750,2010/02/01
10750,2010/02/03
10750,2010/02/04
10750,2010/02/05
10750,2010/02/06
10750,2010/02/08
9750,2010/02/09
10750,2010/02/10
10750,2010/02/11
10750,2010/02/12
10750,2010/02/13
10750,2010/02/15
11000,2010/02/16
10500,2010/02/17
10500,2010/02/18
10500,2010/02/20
10500,2010/02/22
10750,2010/02/23
10500,2010/02/24
9250,2010/02/26
9250,2010/02/27
9250,2010/03/01
9250,2010/03/02
10500,2010/03/03
12000,2010/03/04
11750,2010/03/05
7750,2010/03/06
11750,2010/03/08
12500,2010/03/09
12500,2010/03/10
12250,2010/03/11
11500,2010/03/12
11500,2010/03/13
11500,2010/03/15
11500,2010/03/16
12500,2010/03/17
12500,2010/03/18
12500,2010/03/19
1300,2010/03/20
13000,2010/03/22
13000,2010/03/24
13000,2010/03/25
13000,2010/03/26
13000,2010/03/27
13000,2010/03/29
13000,2010/03/30
13000,2010/03/31
12750,2010/04/01
12500,2010/04/02
12750,2010/04/03
12750,2010/04/05
12750,2010/04/06
13500,2010/04/07
13500,2010/04/08
12750,2010/04/09
12750,2010/04/10
12750,2010/04/12
13000,2010/04/13
13000,2010/04/14
13500,2010/04/15
13500,2010/04/16
13500,2010/04/17
13500,2010/04/20
13500,2010/04/21
13000,2010/04/22
13000,2010/04/23
13000,2010/04/24
13000,2010/04/26
13500,2010/04/27
13500,2010/04/28
14250,2010/04/30
14250,2010/05/03
14750,2010/05/04
14750,2010/05/05
14750,2010/05/06
14000,2010/05/07
14000,2010/05/10
14000,2010/05/11
14250,2010/05/12
14750,2010/05/13
14750,2010/05/14
14750,2010/05/15
17500,2010/05/17
17750,2010/05/18
17750,2010/05/19
18750,2010/05/20
18750,2010/05/21
18750,2010/05/22
14750,2010/05/24
14750,2010/05/25
14750,2010/05/26
14750,2010/05/27
9000,2010/05/28
9000,2010/05/29
14000,2010/05/31
14750,2010/06/01
17000,2010/06/02
17000,2010/06/03
17000,2010/06/04
17000,2010/06/05
17000,2010/06/07
17000,2010/06/08
17000,2010/06/09
17250,2010/06/10
16500,2010/06/11
17000,2010/06/14
18000,2010/06/18
18000,2010/06/19
18000,2010/06/21
17250,2010/06/22
17250,2010/06/23
17250,2010/06/24
17000,2010/06/29
17000,2010/07/05
17750,2010/07/07
17750,2010/07/08
17000,2010/07/09
17000,2010/07/10
17000,2010/07/12
17000,2010/07/14
17000,2010/07/15
16000,2010/07/19
17000,2010/07/20
17000,2010/07/21
17000,2010/07/22
17000,2010/07/23
17000,2010/07/27
